품사,(다중 항목),,,,,,
,,,,,,,
평균 : 상대빈도,열 레이블,,,,,,
행 레이블,감쪽같은그녀,결백,그대를사랑,내머리속에,로망,오문희,총합계
쏘일-Verb,,,,,0.16%,,0.16%
미-Adjective,0.08%,0.08%,0.03%,0.03%,0.12%,0.09%,0.07%
자연스러-Adjective,,,,,0.04%,,0.04%
시들지-Verb,,,,,0.04%,,0.04%
힘내는거야-Verb,,,,,0.04%,,0.04%
찡그려-Verb,,,,,0.04%,,0.04%
할수있당-Verb,,,,,0.04%,,0.04%
허와-Verb,,,,,0.04%,,0.04%
쑤진-Verb,,,,,0.04%,,0.04%
힘내-Verb,,,,,0.04%,,0.04%
않는-Verb,,,,,0.04%,,0.04%
지운-Verb,,,,,0.04%,,0.04%
용구리-Verb,,,,,0.04%,,0.04%
추니-Verb,,,,,0.04%,,0.04%
이루자-Verb,,,,,0.04%,,0.04%
합니다요-Verb,,,,,0.04%,,0.04%
있다-Adjective,,,,,0.04%,,0.04%
자데-Verb,,,,,0.04%,,0.04%
재진-Verb,,,,,0.04%,,0.04%
벌자-Verb,,,,,0.04%,,0.04%
멋진이-Adjective,,,,,0.04%,,0.04%
걸을까-Verb,,,,,0.04%,,0.04%
배거-Verb,,,,,0.04%,,0.04%
꾸담-Verb,,,,,0.04%,,0.04%
보고있다-Verb,,,,,0.04%,,0.04%
사네-Verb,,,,,0.04%,,0.04%
멋지다-Adjective,,,,,0.04%,,0.04%
희-Adjective,0.05%,0.02%,,0.02%,,0.04%,0.03%
허-Verb,,0.03%,,,,,0.03%
꾸-Verb,0.03%,0.01%,0.02%,0.03%,,0.06%,0.03%
쏘-Verb,0.04%,0.03%,0.01%,,,,0.03%
까-Verb,0.03%,0.02%,,,0.04%,0.02%,0.03%
보면-Verb,,,,,0.04%,0.01%,0.03%
즐기자-Verb,0.03%,,,,,,0.03%
빛나는-Verb,0.03%,,,,,,0.03%
빨간-Adjective,,,0.01%,,0.04%,,0.02%
해담-Verb,,,,,,0.02%,0.02%
잰-Verb,,,,,,0.02%,0.02%
두구-Verb,,,,,,0.02%,0.02%
남길구-Verb,,,,0.01%,0.04%,,0.02%
크-Verb,0.03%,0.02%,0.01%,0.01%,0.04%,0.02%,0.02%
아름다운-Adjective,,,0.01%,,,0.04%,0.02%
좋은-Adjective,,0.02%,0.01%,,,0.04%,0.02%
봐-Verb,,0.01%,,,0.04%,0.01%,0.02%
꿈꾸는-Verb,0.01%,0.01%,,,,0.04%,0.02%
안녕하세요-Adjective,,0.01%,,0.01%,0.04%,,0.02%
웃자-Verb,,0.01%,,,0.04%,0.01%,0.02%
멋진-Adjective,0.04%,0.01%,,0.01%,,,0.02%
도르-Verb,0.03%,,,,,0.01%,0.02%
커-Verb,0.03%,0.01%,,,,,0.02%
베어-Verb,0.01%,,,0.01%,0.04%,0.01%,0.02%
해-Verb,0.01%,0.01%,,0.01%,0.04%,0.01%,0.02%
검은-Adjective,0.03%,0.01%,0.01%,0.01%,0.04%,,0.02%
가-Verb,0.01%,0.01%,0.01%,,0.04%,,0.02%
풉-Verb,,0.02%,,,,,0.02%
키움-Verb,,0.02%,,,,,0.02%
멜-Verb,0.01%,0.01%,,,,0.02%,0.02%
없음-Adjective,0.03%,0.01%,0.02%,0.01%,,0.01%,0.02%
하지-Verb,0.03%,0.01%,,,,,0.02%
하는-Verb,0.04%,0.01%,0.01%,0.01%,,,0.01%
김우리-Verb,,0.01%,,,,0.02%,0.01%
한-Verb,0.03%,0.01%,,0.01%,,0.01%,0.01%
쌉-Verb,,,,0.01%,,,0.01%
안녕하-Adjective,,,,0.01%,,,0.01%
쨈-Verb,0.01%,,,,,,0.01%
행복한우리-Adjective,0.01%,,,,,,0.01%
와니-Verb,0.01%,,,,,,0.01%
오니아니로-Verb,0.01%,,,,,,0.01%
이로인해-Adjective,0.01%,,,,,,0.01%
착한-Adjective,0.01%,,,,,,0.01%
오재-Verb,0.01%,,,,,,0.01%
챔두-Verb,0.01%,,,,,,0.01%
쌀려나-Verb,0.01%,,,,,,0.01%
오데-Verb,0.01%,,,,,,0.01%
잘알-Verb,0.01%,,,,,,0.01%
있는-Adjective,0.01%,,,,,,0.01%
하진-Verb,0.01%,,,,,,0.01%
이뻐요-Adjective,0.01%,,,,,,0.01%
할매-Verb,0.01%,,,,,,0.01%
이뿜-Adjective,0.01%,,,,,,0.01%
합니다-Verb,0.01%,,,,,,0.01%
파인-Verb,0.01%,,,,,,0.01%
잘생긴-Adjective,0.01%,,,,,,0.01%
푸아은-Verb,0.01%,,,,,,0.01%
행복한나를-Adjective,0.01%,,,,,,0.01%
안세-Verb,0.01%,,,,,,0.01%
웃는-Verb,0.01%,,,,,,0.01%
앓아요-Verb,0.01%,,,,,,0.01%
휘날리며-Verb,0.01%,,,,,,0.01%
여린-Adjective,0.01%,,,,,,0.01%
찌안-Verb,0.01%,,,,,,0.01%
쥔-Verb,0.01%,,,,,,0.01%
하세요-Verb,0.01%,,,,,,0.01%
져니-Verb,0.01%,,,,,,0.01%
부니-Verb,0.01%,,,,,,0.01%
걷자-Verb,0.01%,,,,,,0.01%
박재이-Verb,0.01%,,,,,,0.01%
그랬데-Adjective,0.01%,,,,,,0.01%
그래-Adjective,0.01%,,,,,,0.01%
두려워말라-Adjective,0.01%,,,,,,0.01%
노우-Verb,0.01%,,,,,,0.01%
둡-Verb,0.01%,,,,,,0.01%
박한울-Adjective,0.01%,,,,,,0.01%
둥글-Adjective,0.01%,,,,,,0.01%
뱉은-Verb,0.01%,,,,,,0.01%
딱이야-Adjective,0.01%,,,,,,0.01%
달려라도-Verb,0.01%,,,,,,0.01%
살랑이-Verb,0.01%,,,,,,0.01%
빠른-Adjective,0.01%,,,,,,0.01%
살아야해-Verb,0.01%,,,,,,0.01%
는이-Verb,0.01%,,,,,,0.01%
서러주-Verb,0.01%,,,,,,0.01%
박하수-Adjective,0.01%,,,,,,0.01%
맑아-Adjective,0.01%,,,,,,0.01%
받고싶은-Verb,0.01%,,,,,,0.01%
그러고는-Adjective,0.01%,,,,,,0.01%
배고프다-Adjective,0.01%,,,,,,0.01%
김다은-Verb,0.01%,,,,,,0.01%
괜찮아-Adjective,0.01%,,,,,,0.01%
굴러라-Verb,0.01%,,,,,,0.01%
벼리-Verb,0.01%,,,,,,0.01%
끄-Verb,0.01%,,,,,,0.01%
나까-Verb,0.01%,,,,,,0.01%
봄다-Verb,0.01%,,,,,,0.01%
날다-Verb,0.01%,,,,,,0.01%
모르게-Verb,0.01%,,,,,,0.01%
귀여운수하니-Adjective,0.01%,,,,,,0.01%
가는거야-Verb,0.01%,,,,,,0.01%
노란-Adjective,0.01%,,,,,,0.01%
민첩한-Adjective,0.01%,,,,,,0.01%
사와라-Verb,0.01%,,,,,,0.01%
바꿔-Verb,0.01%,,,,,,0.01%
바라본다-Verb,0.01%,,,,,,0.01%
살아있다-Verb,0.01%,,,,,,0.01%
똑똑한-Adjective,0.01%,,,,,,0.01%
설계사-Verb,0.01%,,,,,,0.01%
만우-Verb,0.01%,,,,,,0.01%
떠가리-Verb,0.01%,,,,,,0.01%
슬픈-Adjective,,0.01%,0.01%,,,0.02%,0.01%
쓰-Verb,0.01%,0.02%,0.01%,,,,0.01%
하얀-Adjective,0.01%,,,,,0.01%,0.01%
지-Verb,0.01%,,,,,0.01%,0.01%
뜨-Verb,0.01%,,,,,0.01%,0.01%
핥-Verb,,,,,,0.01%,0.01%
찬주-Verb,,,,,,0.01%,0.01%
신하건-Verb,,,,,,0.01%,0.01%
와다다-Verb,,,,,,0.01%,0.01%
안은-Verb,,,,,,0.01%,0.01%
웃는거야-Verb,,,,,,0.01%,0.01%
흘러가는-Verb,,,,,,0.01%,0.01%
시키자-Verb,,,,,,0.01%,0.01%
차가운-Adjective,,,,,,0.01%,0.01%
쑤-Verb,,,,,,0.01%,0.01%
푸르-Adjective,,,,,,0.01%,0.01%
잊-Verb,,,,,,0.01%,0.01%
하지수-Verb,,,,,,0.01%,0.01%
쑤기-Verb,,,,,,0.01%,0.01%
해줘-Verb,,,,,,0.01%,0.01%
자리세-Adjective,,,,,,0.01%,0.01%
힘듦-Adjective,,,,,,0.01%,0.01%
오단-Verb,,,,,,0.01%,0.01%
찌니-Verb,,,,,,0.01%,0.01%
재은-Verb,,,,,,0.01%,0.01%
차여-Verb,,,,,,0.01%,0.01%
조시-Adjective,,,,,,0.01%,0.01%
안녕하세여-Adjective,,,,,,0.01%,0.01%
좋아요-Adjective,,,,,,0.01%,0.01%
푸르지이오-Adjective,,,,,,0.01%,0.01%
아노-Verb,,,,,,0.01%,0.01%
예쁜이-Adjective,,,,,,0.01%,0.01%
주이-Verb,,,,,,0.01%,0.01%
않길-Verb,,,,,,0.01%,0.01%
행복하기를-Adjective,,,,,,0.01%,0.01%
어지러-Verb,,,,,,0.01%,0.01%
업질러-Verb,,,,,,0.01%,0.01%
온다-Verb,,,,,,0.01%,0.01%
후리지아-Verb,,,,,,0.01%,0.01%
없다-Adjective,,,,,,0.01%,0.01%
지나가던-Verb,,,,,,0.01%,0.01%
후림-Verb,,,,,,0.01%,0.01%
지루해-Adjective,,,,,,0.01%,0.01%
힘든-Adjective,,,,,,0.01%,0.01%
짓수-Verb,,,,,,0.01%,0.01%
짜증나는-Adjective,,,,,,0.01%,0.01%
아파하지-Adjective,,,,,,0.01%,0.01%
꺼꺼꺼-Verb,,,,,,0.01%,0.01%
박가은-Verb,,,,,,0.01%,0.01%
문실-Verb,,,,,,0.01%,0.01%
걸리겠다-Verb,,,,,,0.01%,0.01%
박지리-Verb,,,,,,0.01%,0.01%
내꺼-Verb,,,,,,0.01%,0.01%
소소하게-Adjective,,,,,,0.01%,0.01%
놀러-Verb,,,,,,0.01%,0.01%
기다린다-Verb,,,,,,0.01%,0.01%
눈부신-Adjective,,,,,,0.01%,0.01%
박은-Verb,,,,,,0.01%,0.01%
달다-Verb,,,,,,0.01%,0.01%
김운고-Verb,,,,,,0.01%,0.01%
가련-Verb,,,,,,0.01%,0.01%
꿈이있어여-Verb,,,,,,0.01%,0.01%
달콤한-Adjective,,,,,,0.01%,0.01%
먼-Adjective,,,,,,0.01%,0.01%
구르마-Verb,,,,,,0.01%,0.01%
미이-Adjective,,,,,,0.01%,0.01%
도르치-Verb,,,,,,0.01%,0.01%
긴-Verb,,,,,,0.01%,0.01%
될-Verb,,,,,,0.01%,0.01%
박고련-Verb,,,,,,0.01%,0.01%
가뿐히-Adjective,,,,,,0.01%,0.01%
김기-Verb,,,,,,0.01%,0.01%
들-Verb,,,,,,0.01%,0.01%
김다니-Verb,,,,,,0.01%,0.01%
따뜻한-Adjective,,,,,,0.01%,0.01%
비가오는-Verb,,,,,,0.01%,0.01%
때워-Verb,,,,,,0.01%,0.01%
살자-Verb,,,,,,0.01%,0.01%
서네-Verb,,,,,,0.01%,0.01%
세은-Verb,,,,,,0.01%,0.01%
세히-Verb,,,,,,0.01%,0.01%
뜨거-Adjective,,,,,,0.01%,0.01%
순결한-Adjective,,,,,,0.01%,0.01%
머니주니-Adjective,,,,,,0.01%,0.01%
메이러-Verb,,,,,,0.01%,0.01%
썬-Verb,0.01%,0.01%,,,,,0.01%
흰-Adjective,,0.01%,,,,0.01%,0.01%
채은-Verb,,0.01%,,,,0.01%,0.01%
찾아-Verb,,0.01%,,,,,0.01%
하느-Verb,,0.01%,,,,,0.01%
큰-Verb,,0.01%,,,,,0.01%
밝은-Verb,,0.01%,,,,,0.01%
둥글게-Adjective,,0.01%,,,,,0.01%
닮-Verb,,0.01%,,,,,0.01%
뜬-Verb,,0.01%,,,,,0.01%
해라-Verb,0.01%,,0.01%,,,,0.01%
푸름-Adjective,0.01%,,0.01%,,,,0.01%
팜-Verb,0.01%,,0.01%,,,,0.01%
와-Verb,,0.01%,0.01%,,,0.01%,0.01%
따-Verb,,0.01%,0.01%,,,0.01%,0.01%
평범한-Adjective,,,0.01%,,,0.01%,0.01%
짜-Verb,,,0.01%,,,0.01%,0.01%
춘-Verb,,,0.01%,,,0.01%,0.01%
좋아-Adjective,0.01%,0.01%,,0.01%,,,0.01%
빌-Verb,0.01%,0.01%,,0.01%,,,0.01%
떠-Verb,0.01%,0.01%,,0.01%,,,0.01%
푸-Verb,0.01%,0.01%,,,,0.01%,0.01%
넘-Verb,0.01%,0.01%,,,,0.01%,0.01%
써-Verb,0.01%,,,0.01%,,,0.01%
행복한-Adjective,0.01%,,,0.01%,,,0.01%
놔-Verb,0.01%,,,0.01%,,,0.01%
몰라-Verb,0.01%,,,0.01%,,,0.01%
찐-Verb,,0.01%,0.01%,,,,0.01%
멘-Verb,,0.01%,0.01%,,,,0.01%
예쁜-Adjective,0.01%,0.01%,,,,,0.01%
입니당-Adjective,0.01%,0.01%,,,,,0.01%
올-Verb,0.01%,0.01%,,,,,0.01%
올라-Verb,0.01%,0.01%,,,,,0.01%
소중한-Adjective,0.01%,0.01%,,,,,0.01%
보자-Verb,0.01%,0.01%,,,,,0.01%
다니-Verb,0.01%,0.01%,,,,,0.01%
사는-Verb,0.01%,0.01%,,,,,0.01%
나를-Verb,0.01%,0.01%,,,,,0.01%
나간-Verb,0.01%,0.01%,,,,,0.01%
된다-Verb,0.01%,0.01%,,,,,0.01%
미오-Adjective,0.01%,0.01%,,,,,0.01%
바라기-Verb,,0.01%,,0.01%,,,0.01%
했어-Verb,,0.01%,,,,0.01%,0.01%
쓰리-Adjective,,0.01%,,,,0.01%,0.01%
핍-Verb,,0.01%,,,,0.01%,0.01%
하는아-Verb,,0.01%,,,,0.01%,0.01%
친절한-Adjective,,0.01%,,,,0.01%,0.01%
김세은-Verb,,0.01%,,,,0.01%,0.01%
가려요-Verb,,0.01%,,,,0.01%,0.01%
바르-Verb,,0.01%,,,,0.01%,0.01%
기쁜-Adjective,,0.01%,0.01%,,,0.01%,0.01%
안조니-Adjective,,,0.01%,,,,0.01%
온군-Verb,,,0.01%,,,,0.01%
싼-Verb,,,0.01%,,,,0.01%
재세-Verb,,,0.01%,,,,0.01%
옳다-Adjective,,,0.01%,,,,0.01%
왔어요-Verb,,,0.01%,,,,0.01%
안녕하세-Adjective,,,0.01%,,,,0.01%
쌌어-Verb,,,0.01%,,,,0.01%
이런진-Adjective,,,0.01%,,,,0.01%
아니야-Adjective,,,0.01%,,,,0.01%
숭고한-Adjective,,,0.01%,,,,0.01%
씁-Verb,,,0.01%,,,,0.01%
